"Op te heffen gemeenten","","Nieuw te vormen gemeenten"
"Code","Gemeentenaam","Code","Gemeentenaam","Provincie"
"0363","Amsterdam","0363","Amsterdam","NH."
"0457","Weesp1)","0363","Amsterdam","NH."
"1) In bestanden met een peildatum van 1 januari 2022 is de overgang van Weesp naar Amsterdam niet verwerkt (omdat deze overgang plaatsvindt op 24 maart 2022)."
