Version;Date_of_report;Date_of_statistics_week_start;Variant_code;Variant_name;ECDC_category;WHO_category;May_include_samples_listed_before;Sample_size;Variant_cases
3;2022-03-23 17:41:04;2021-01-04;B.1.1.7;Alpha;DEV;;False;356;45
3;2022-03-23 17:41:04;2021-01-04;B.1.621;Mu;DEV;;False;356;0
3;2022-03-23 17:41:04;2021-01-04;C.37;Lambda;DEV;;False;356;0
3;2022-03-23 17:41:04;2021-01-04;BA.1;;VOC;VOC;True;356;0
3;2022-03-23 17:41:04;2021-01-04;BA.2;;VOC;VOC;True;356;0
3;2022-03-23 17:41:04;2021-01-04;BA.3;;VOC;VOC;True;356;0
3;2022-03-23 17:41:04;2021-01-11;B.1.351;Beta;VOC;;False;303;3
3;2022-03-23 17:41:04;2021-01-11;P.1;Gamma;VOC;;False;303;0
3;2022-03-23 17:41:04;2021-01-11;B.1.617.2;Delta;VOC;VOC;False;303;0
3;2022-03-23 17:41:04;2021-01-11;B.1.1.529;Omicron;VOC;VOC;False;303;0
3;2022-03-23 17:41:04;2021-01-11;B.1.640;;VUM;VUM;False;303;0
3;2022-03-23 17:41:04;2021-01-11;XF;;VUM;;False;303;0
3;2022-03-23 17:41:04;2021-01-11;XD;;VUM;VUM;False;303;0
3;2022-03-23 17:41:04;2021-01-11;B.1.1.7;Alpha;DEV;;False;303;60
3;2022-03-23 17:41:04;2021-01-11;B.1.621;Mu;DEV;;False;303;0
3;2022-03-23 17:41:04;2021-01-11;C.37;Lambda;DEV;;False;303;0
3;2022-03-23 17:41:04;2021-01-11;BA.1;;VOC;VOC;True;303;0
3;2022-03-23 17:41:04;2021-01-11;BA.2;;VOC;VOC;True;303;0
3;2022-03-23 17:41:04;2021-01-11;BA.3;;VOC;VOC;True;303;0
3;2022-03-23 17:41:04;2021-01-18;B.1.351;Beta;VOC;;False;651;3
3;2022-03-23 17:41:04;2021-01-18;P.1;Gamma;VOC;;False;651;0
3;2022-03-23 17:41:04;2021-01-18;B.1.617.2;Delta;VOC;VOC;False;651;0
3;2022-03-23 17:41:04;2021-01-18;B.1.1.529;Omicron;VOC;VOC;False;651;0
3;2022-03-23 17:41:04;2021-01-18;B.1.640;;VUM;VUM;False;651;0
3;2022-03-23 17:41:04;2021-01-18;XF;;VUM;;False;651;0
3;2022-03-23 17:41:04;2021-01-18;XD;;VUM;VUM;False;651;0
3;2022-03-23 17:41:04;2021-01-18;B.1.1.7;Alpha;DEV;;False;651;158
3;2022-03-23 17:41:04;2021-01-18;B.1.621;Mu;DEV;;False;651;0
3;2022-03-23 17:41:04;2021-01-18;C.37;Lambda;DEV;;False;651;0
3;2022-03-23 17:41:04;2021-01-18;BA.1;;VOC;VOC;True;651;0
3;2022-03-23 17:41:04;2021-01-18;BA.2;;VOC;VOC;True;651;0
